timestamp,instrument,side,price,quantity
2022-11-01 09:56:36,NIFTY22110318200CE,BUY,62.0,1
2022-11-01 09:56:36,NIFTY22110318200PE,BUY,127.0,1
2022-11-01 10:23:40,BANKNIFTY22110341800CE,SELL,212.15,1
2022-11-01 10:23:40,BANKNIFTY22110341800PE,SELL,402.75,1
2022-11-01 10:23:40,BANKNIFTY22110341700PE,BUY,347.55,1
2022-11-01 10:23:40,BANKNIFTY22110341700CE,BUY,258.3,1
2022-11-01 10:24:31,BANKNIFTY22110341700PE,SELL,343.15,1
2022-11-01 10:24:31,BANKNIFTY22110341700CE,SELL,258.6,1
2022-11-01 10:24:31,BANKNIFTY22110341800CE,BUY,213.75,1
2022-11-01 10:24:31,BANKNIFTY22110341800PE,BUY,399.0,1
2022-11-01 10:24:39,BANKNIFTY22110341800CE,SELL,212.15,1
2022-11-01 10:24:39,BANKNIFTY22110341800PE,SELL,399.05,1
2022-11-01 10:24:39,BANKNIFTY22110341700PE,BUY,344.4,1
2022-11-01 10:24:39,BANKNIFTY22110341700CE,BUY,257.75,1
2022-11-01 10:25:19,BANKNIFTY22110341700PE,SELL,344.95,1
2022-11-01 10:25:19,BANKNIFTY22110341700CE,SELL,259.25,1
2022-11-01 10:25:19,BANKNIFTY22110341800CE,BUY,214.25,1
2022-11-01 10:25:19,BANKNIFTY22110341800PE,BUY,400.95,1
2022-11-01 10:25:22,BANKNIFTY22110341800CE,SELL,214.05,1
2022-11-01 10:25:22,BANKNIFTY22110341800PE,SELL,400.0,1
2022-11-01 10:25:22,BANKNIFTY22110341700PE,BUY,345.25,1
2022-11-01 10:25:22,BANKNIFTY22110341700CE,BUY,259.4,1
2022-11-01 10:25:25,BANKNIFTY22110341700PE,SELL,344.0,1
2022-11-01 10:25:25,BANKNIFTY22110341700CE,SELL,258.85,1
2022-11-01 10:25:25,BANKNIFTY22110341800CE,BUY,213.75,1
2022-11-01 10:25:25,BANKNIFTY22110341800PE,BUY,399.65,1
2022-11-01 10:25:35,BANKNIFTY22110341800CE,SELL,212.9,1
2022-11-01 10:25:35,BANKNIFTY22110341800PE,SELL,402.5,1
2022-11-01 10:25:35,BANKNIFTY22110341700PE,BUY,346.85,1
2022-11-01 10:25:35,BANKNIFTY22110341700CE,BUY,257.75,1
2022-11-01 10:25:36,BANKNIFTY22110341700PE,SELL,347.25,1
2022-11-01 10:25:36,BANKNIFTY22110341700CE,SELL,259.0,1
2022-11-01 10:25:36,BANKNIFTY22110341800CE,BUY,214.0,1
2022-11-01 10:25:36,BANKNIFTY22110341800PE,BUY,400.75,1
2022-11-01 10:25:38,BANKNIFTY22110341800CE,SELL,214.1,1
2022-11-01 10:25:38,BANKNIFTY22110341800PE,SELL,401.05,1
2022-11-01 10:25:38,BANKNIFTY22110341700PE,BUY,346.2,1
2022-11-01 10:25:38,BANKNIFTY22110341700CE,BUY,258.65,1
2022-11-01 10:25:51,BANKNIFTY22110341700PE,SELL,344.3,1
2022-11-01 10:25:51,BANKNIFTY22110341700CE,SELL,259.1,1
2022-11-01 10:25:51,BANKNIFTY22110341800CE,BUY,214.7,1
2022-11-01 10:25:51,BANKNIFTY22110341800PE,BUY,399.05,1
2022-11-01 10:25:53,BANKNIFTY22110341800CE,SELL,214.75,1
2022-11-01 10:25:53,BANKNIFTY22110341800PE,SELL,398.9,1
2022-11-01 10:25:53,BANKNIFTY22110341700PE,BUY,343.4,1
2022-11-01 10:25:53,BANKNIFTY22110341700CE,BUY,259.45,1
2022-11-01 10:25:55,BANKNIFTY22110341700PE,SELL,344.15,1
2022-11-01 10:25:55,BANKNIFTY22110341700CE,SELL,259.55,1
2022-11-01 10:25:55,BANKNIFTY22110341800CE,BUY,214.55,1
2022-11-01 10:25:55,BANKNIFTY22110341800PE,BUY,398.55,1
2022-11-01 10:26:05,BANKNIFTY22110341800CE,SELL,212.2,1
2022-11-01 10:26:05,BANKNIFTY22110341800PE,SELL,401.6,1
2022-11-01 10:26:05,BANKNIFTY22110341700PE,BUY,346.3,1
2022-11-01 10:26:05,BANKNIFTY22110341700CE,BUY,257.1,1
2022-11-01 10:26:07,BANKNIFTY22110341700PE,SELL,346.6,1
2022-11-01 10:26:07,BANKNIFTY22110341700CE,SELL,257.5,1
2022-11-01 10:26:07,BANKNIFTY22110341800CE,BUY,211.85,1
2022-11-01 10:26:07,BANKNIFTY22110341800PE,BUY,402.05,1
2022-11-01 10:26:08,BANKNIFTY22110341800CE,SELL,212.65,1
2022-11-01 10:26:08,BANKNIFTY22110341800PE,SELL,401.2,1
2022-11-01 10:26:08,BANKNIFTY22110341700PE,BUY,346.3,1
2022-11-01 10:26:08,BANKNIFTY22110341700CE,BUY,257.5,1
2022-11-01 10:26:11,BANKNIFTY22110341700PE,SELL,346.05,1
2022-11-01 10:26:11,BANKNIFTY22110341700CE,SELL,257.9,1
2022-11-01 10:26:11,BANKNIFTY22110341800CE,BUY,212.85,1
2022-11-01 10:26:11,BANKNIFTY22110341800PE,BUY,401.9,1
2022-11-01 10:26:15,BANKNIFTY22110341800CE,SELL,212.15,1
2022-11-01 10:26:15,BANKNIFTY22110341800PE,SELL,402.0,1
2022-11-01 10:26:15,BANKNIFTY22110341700PE,BUY,347.7,1
2022-11-01 10:26:15,BANKNIFTY22110341700CE,BUY,256.3,1
2022-11-01 10:29:10,BANKNIFTY22110341700PE,SELL,343.1,1
2022-11-01 10:29:10,BANKNIFTY22110341700CE,SELL,259.0,1
2022-11-01 10:29:10,BANKNIFTY22110341800CE,BUY,214.15,1
2022-11-01 10:29:10,BANKNIFTY22110341800PE,BUY,398.35,1
2022-11-01 10:30:05,BANKNIFTY22110341800CE,SELL,211.0,1
2022-11-01 10:30:05,BANKNIFTY22110341800PE,SELL,401.85,1
2022-11-01 10:30:05,BANKNIFTY22110341700PE,BUY,346.0,1
2022-11-01 10:30:05,BANKNIFTY22110341700CE,BUY,255.75,1
2022-11-01 10:30:36,BANKNIFTY22110341700PE,SELL,343.0,1
